"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","12月支払金額","1月繰越残高","新規サイン"
"2023/11/30","ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ","本人","1回払い","600","0","600","600","0","*"
"2023/11/29","ﾃﾞｼﾞｽﾏ ｶﾝｼﾞﾔﾒｾﾝﾉｸ","本人","1回払い","1750","0","1750","1750","0","*"
"2023/11/28","AMAZON.CO.JP","本人","1回払い","550","0","550","550","0","*"
"2023/11/26","AMAZON.CO.JP","本人","1回払い","1399","0","1399","1399","0","*"
"2023/11/26","AMAZON.CO.JP","本人","1回払い","1310","0","1310","1310","0","*"
"2023/11/26","AMAZON.CO.JP","本人","1回払い","1580","0","1580","1580","0","*"
"2023/11/25","ファミリーマート","本人","1回払い","434","0","434","434","0","*"
"2023/11/22","ZWIFT, INC.利用国US","本人","1回払い","1650","0","1650","1650","0","*"
"","現地利用額　　　　　　１６５０．０００変換レート　　　１．０００円","","","","","","","",""
"2023/11/22","GOOGLE PLAY JAPAN","本人","1回払い","1280","0","1280","1280","0","*"
"2023/11/17","ﾄﾘｯﾌﾟﾄﾞｯﾄｺﾑ","本人","1回払い","24036","0","24036","24036","0","*"
"2023/11/15","ｿﾌﾄﾊﾞﾝｸM(10ｶﾞﾂ)","本人","1回払い","4752","0","4752","4752","0","*"
"2023/11/15","ｿﾌﾄﾊﾞﾝｸM(10ｶﾞﾂ)","本人","1回払い","1695","0","1695","1695","0","*"
"2023/11/15","AMAZON.CO.JP","本人","1回払い","2113","0","2113","2113","0","*"
"2023/11/14","ｱｲｼﾃｲｵﾄｸﾃｲｷﾋﾞﾝ","本人","1回払い","1968","0","1968","1968","0","*"
"2023/11/13","AMAZON.CO.JP","本人","1回払い","1119","0","1119","1119","0","*"
"2023/11/10","AMAZON.CO.JP","本人","1回払い","10999","0","10999","10999","0","*"
"2023/11/09","AMAZON.CO.JP","本人","1回払い","3658","0","3658","3658","0","*"
"2023/11/08","AMAZON.CO.JP","本人","1回払い","3136","0","3136","3136","0","*"
"2023/11/08","AMAZON.CO.JP","本人","1回払い","1228","0","1228","1228","0","*"
"2023/11/05","イデミツ（アポロ／シェル）","本人","1回払い","3565","0","3565","3565","0","*"
"2023/11/05","JRﾎﾃﾙｸﾚﾒﾝﾄﾀｶﾏﾂ","本人","1回払い","6840","0","6840","6840","0","*"
"2023/11/05","ＥＮＥＯＳ－ＳＳ","本人","1回払い","4218","0","4218","4218","0","*"
"2023/11/05","ＥＴＣカード売上","ETC","1回払い","2670","0","2670","2670","0","*"
"","ﾅﾙﾄﾎﾝｾﾝ    ｺｳﾍﾞﾆｼﾎﾝｾ","","","","","","","",""
"2023/11/05","ＥＴＣカード売上","ETC","1回払い","4780","0","4780","4780","0","*"
"","ﾀｶﾏﾂﾁﾕｳｵｳ  ﾂ","","","","","","","",""
"2023/11/04","ＥＴＣカード売上","ETC","1回払い","830","0","830","830","0","*"
"","ｵｵﾉﾊﾗ      ﾌﾁﾕｳｺﾋﾟ-ｴ","","","","","","","",""
"2023/11/04","ＥＴＣカード売上","ETC","1回払い","750","0","750","750","0","*"
"","ｻｶｲﾃﾞ      ｵｵﾉﾊﾗ","","","","","","","",""
"2023/11/03","ＥＴＣカード売上","ETC","1回払い","670","0","670","670","0","*"
"","ｻﾇｷﾄﾖﾅｶ    ﾌﾁﾕｳｺﾋﾟ-ｴ","","","","","","","",""
"2023/11/03","ＥＴＣカード売上","ETC","1回払い","670","0","670","670","0","*"
"","ﾌﾁﾕｳｺﾋﾟ-ｴ- ｻﾇｷﾄﾖﾅｶ","","","","","","","",""
"2023/11/03","ＥＴＣカード売上","ETC","1回払い","1420","0","1420","1420","0","*"
"","ﾅﾙﾄﾎﾝｾﾝ    ﾀｶﾏﾂﾀﾞﾝｼ","","","","","","","",""
"2023/11/03","ＥＴＣカード売上","ETC","1回払い","2620","0","2620","2620","0","*"
"","ﾌｾﾊﾀ       ﾅﾙﾄﾎﾝｾﾝ","","","","","","","",""
"2023/11/03","ＥＴＣカード売上","ETC","1回払い","1090","0","1090","1090","0","*"
"","ﾆｼﾉﾐﾔﾔﾏｸﾞﾁ ﾌｾﾊﾀｼﾞｴｲﾃ","","","","","","","",""
"2023/11/03","ＥＴＣカード売上","ETC","1回払い","3450","0","3450","3450","0","*"
"","ｹﾞｲﾉｳ      ﾆｼﾉﾐﾔﾔﾏｸﾞ","","","","","","","",""
"2023/11/02","ＥＴＣカード売上","ETC","1回払い","2170","0","2170","2170","0","*"
"","ﾅｺﾞﾔﾆｼ     ﾂ","","","","","","","",""
"2023/10/31","楽天ビック（ビックカメラｘ楽天","本人","1回払い","8970","0","8970","8970","0","*"
