"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","支払月","1月支払金額","2月繰越残高","2月以降支払金額"
"2023/12/30","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","3428","0","3428","1月","3428","0",""
"2023/12/30","ＶＩＳＡ国内利用　VS ｱﾏｿﾞﾝﾌﾟﾗｲﾑｶｲﾋ","本人","1回払い","600","0","600","1月","600","0",""
"2023/12/28","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","550","0","550","1月","550","0",""
"2023/12/24","快活ＣＬＵＢ鈴鹿白子店　7733451088744","本人","1回払い","2640","0","2640","1月","2640","0",""
"2023/12/24","イオンリテール　001390","本人","1回払い","1430","0","1430","1月","1430","0",""
"2023/12/24","ＶＩＳＡ国内利用　VS ﾕ ｶﾗﾌﾙ","本人","1回払い","20700","0","20700","1月","20700","0",""
"2023/12/23","ファミリーマート　ｽｽﾞｶﾐﾅﾐﾀﾏｶﾞｷ","本人","1回払い","230","0","230","1月","230","0",""
"2023/12/22","ＶＩＳＡ国内利用　VS GOOGLE PLAY JAPAN","本人","1回払い","1280","0","1280","1月","1280","0",""
"2023/12/22","ＶＩＳＡ海外利用　ZWIFT, INC.","本人","1回払い","1650","0","1650","1月","1650","0",""
"2023/12/22","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","34580","0","34580","1月","34580","0",""
"2023/12/22","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","2780","0","2780","1月","2780","0",""
"2023/12/16","ＶＩＳＡ国内利用　VS ﾍｱｻﾛﾝ ﾃﾗﾀﾞ","本人","1回払い","4400","0","4400","1月","4400","0",""
"2023/12/15","ＶＩＳＡ国内利用　VS ｿﾌﾄﾊﾞﾝｸM(11ｶﾞﾂ)","本人","1回払い","2748","0","2748","1月","2748","0",""
"2023/12/15","ＶＩＳＡ国内利用　VS ｿﾌﾄﾊﾞﾝｸM(11ｶﾞﾂ)","本人","1回払い","1695","0","1695","1月","1695","0",""
"2023/12/14","ＶＩＳＡ国内利用　VS ｱｲｼﾃｲｵﾄｸﾃｲｷﾋﾞﾝ","本人","1回払い","1968","0","1968","1月","1968","0",""
"2023/12/12","ＶＩＳＡ国内利用　VS APPLE COM BILL","本人","1回払い","60","0","60","1月","60","0",""
"2023/12/12","カイネットショップ２号店　ﾗｸﾃﾝｲﾁﾊﾞ790002","本人","1回払い","12977","0","12977","1月","12977","0",""
"2023/12/11","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","4490","0","4490","1月","4490","0",""
"2023/12/10","ＶＩＳＡ国内利用　VS ﾜﾂﾂ ｶﾐﾀｶﾊﾞﾀﾃﾝ","本人","1回払い","2035","0","2035","1月","2035","0",""
"2023/12/10","ＶＩＳＡ国内利用　VS BOPﾅｺﾞﾔﾔﾏﾅｶｼﾝﾅｶｼﾞ","本人","1回払い","2120","0","2120","1月","2120","0",""
"2023/12/09","ファミリーマート　ｽﾊﾟｲﾗﾙﾀﾜ-ｽﾞ","本人","1回払い","140","0","140","1月","140","0",""
"2023/12/09","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","1020","0","1020","1月","1020","0",""
"2023/12/03","ＶＩＳＡ国内利用　VS ﾎﾘｺ-ﾋ- ﾎﾝﾃﾝ","本人","1回払い","3690","0","3690","1月","3690","0",""
"2023/12/02","ＶＩＳＡ国内利用　VS ｶﾌｴ ﾄﾞ ｸﾘｴ ﾅｺﾞﾔﾐﾂ","本人","1回払い","380","0","380","1月","380","0",""
"2023/12/02","ＶＩＳＡ国内利用　VS ﾍﾞﾙﾏ-ﾄｷﾖｽｸﾂ","本人","1回払い","150","0","150","1月","150","0",""
"2023/12/02","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","559","0","559","1月","559","0",""
"2023/12/02","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","1584","0","1584","1月","1584","0",""
"2023/12/01","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","17026","0","17026","1月","17026","0",""
"2023/12/01","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","824","0","824","1月","824","0",""
"2023/12/01","一般社団法人日本自動車連盟　3100900030307 61060","本人","1回払い","4000","0","4000","1月","4000","0",""
"2023/11/25","ＥＴＣカード売上　ﾆｼﾊﾗ       ｷﾖﾀﾞ","ETC","1回払い","940","0","940","1月","940","0",""
"2023/11/25","ＥＴＣカード売上　ｷﾖﾀﾞ       ﾆｼﾊﾗｼﾞﾔﾝｸ","ETC","1回払い","1000","0","1000","1月","1000","0",""
"2024/01/04","ＶＩＳＡ国内利用　VS ﾆﾝﾃﾝﾄﾞｰEｼｮｯﾌﾟ","本人","1回払い","2633","0","2633","2月以降","","","2633"
"2024/01/02","ＶＩＳＡ国内利用　VS AMAZON.CO.JP","本人","1回払い","3739","0","3739","2月以降","","","3739"
"2024/01/01","ＶＩＳＡ国内利用　VS ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","756","0","756","2月以降","","","756"
